time,seconds_elapsed,x,y,z,session_folder,activity
1761392251907832000,2.30683203125,5.074123465210199,1.3685925382494926,-8.333408169752358,running6,running
1761392251917914000,2.3169140625,4.572184581664204,2.360546643313765,-8.448535601145029,running6,running
1761392251927997400,2.32699755859375,3.848936358332634,3.643655777806043,-8.285967204141617,running6,running
1761392251938079200,2.337079345703125,3.6795419147014616,4.109009436276555,-7.822827130067348,running6,running
1761392251948161300,2.347161376953125,3.837143044686317,3.73534563498795,-7.809883477342129,running6,running
1761392251958243000,2.3572431640625,3.710584118697047,3.3113135824650524,-8.271098720833658,running6,running
1761392251968325000,2.3673251953125,3.2975235420435665,3.256908623060584,-9.265835734614727,running6,running
1761392251978408400,2.377408447265625,2.6478280461788177,3.777379188597202,-10.271687432128193,running6,running
1761392251988490200,2.387490234375,1.9362924724727868,4.645892791953683,-10.602511624121666,running6,running
1761392251998572300,2.397572265625,1.6085861202389,4.984982707989215,-10.179302578419446,running6,running
1761392252008654300,2.407654296875,1.2831173177987336,4.675889870810509,-9.669279172617196,running6,running
1761392252018736400,2.417736328125,0.8776520185798407,4.428748170632124,-9.372470647472143,running6,running
1761392252028819200,2.427819091796875,0.1345879186660051,4.433648217633366,-8.994667262160778,running6,running
1761392252038901200,2.4379013671875,-0.584714781910181,4.540612800836563,-8.103406989467144,running6,running
1761392252048983300,2.4479833984375,-0.9028583560287952,4.503139687010646,-6.807707253471016,running6,running
1761392252059065300,2.4580654296875,-0.9819862532794476,4.211031886902451,-5.660475492933392,running6,running
1761392252069147400,2.4681474609375,-1.0472685805290938,3.9354005898207434,-5.086418883159756,running6,running
1761392252079230200,2.478230224609375,-1.1802379580825566,3.85071505844295,-5.1575785780102015,running6,running
1761392252089312300,2.488312255859375,-1.4799720152854918,3.719987322336435,-5.4723056216835975,running6,running
1761392252099394300,2.498394287109375,-1.8655162239819765,3.7789246644735335,-5.567886641085147,running6,running
1761392252109476400,2.508476318359375,-2.3513521139889955,3.858960324218869,-5.342189879995584,running6,running
1761392252119558400,2.518558349609375,-3.0099364342302084,3.997010366037488,-4.802902385786175,running6,running
1761392252129641200,2.52864111328125,-3.667337682166696,4.1188101148009295,-4.150090219205618,running6,running
1761392252139723300,2.53872314453125,-4.192212620142102,4.081063444730639,-3.4249276866853235,running6,running
1761392252149805300,2.548805419921875,-4.487474500367045,4.037998209986091,-2.6602976516515016,running6,running
1761392252159887400,2.558887451171875,-4.578021617254614,3.828864461162686,-2.0492524966984984,running6,running
1761392252169970200,2.56897021484375,-4.446232973918319,3.424412722900509,-1.7996183951824902,running6,running
1761392252180052200,2.57905224609375,-4.422545224338769,3.1082500934660438,-1.6509493441939354,running6,running
1761392252190134300,2.58913427734375,-4.848281742691993,3.0550381432384253,-1.311305885928869,running6,running
1761392252200216300,2.59921630859375,-5.47506105787158,3.111577192062139,-0.8036272896870971,running6,running
1761392252210298400,2.60929833984375,-5.884572417610883,2.884990788656473,-0.374226403607428,running6,running
1761392252220381200,2.619381103515625,-6.374394162383675,2.433847441846132,-0.598251139831543,running6,running
1761392252230463200,2.629463134765625,-7.167488659879565,2.3993290861725804,-0.867285522866249,running6,running
1761392252240545300,2.639545166015625,-8.171527755013107,2.3874521858960387,-0.7154232287943363,running6,running
1761392252250627300,2.64962744140625,-8.807743007057905,2.329412669381499,0.163991707804799,running6,running
1761392252260710100,2.659710205078125,-8.50578835119605,1.9529571915477515,1.3217477849662302,running6,running
1761392252270792200,2.669792236328125,-7.575973014658689,1.1995827100217342,1.7028338452100753,running6,running
1761392252280874200,2.679874267578125,-6.892458835822343,1.192225917518139,1.3332061675697564,running6,running
1761392252290956300,2.689956298828125,-6.613004765582084,1.044511390775442,0.8798293626189231,running6,running
1761392252301038300,2.700038330078125,-6.646573857706785,0.2371738483935594,0.6427806019097566,running6,running
1761392252311121200,2.71012109375,-6.882106953155994,-0.6306318989545107,0.8071078252792357,running6,running
1761392252321203200,2.720203125,-7.1896607441991565,-1.3191016543716192,1.1469389150708913,running6,running
1761392252331285200,2.73028515625,-7.6141633368432515,-1.6455086144447326,1.2740624892055987,running6,running
1761392252341367300,2.7403671875,-7.591108039948343,-1.687090332633257,0.9109007927089928,running6,running
1761392252351449300,2.750449462890625,-7.7861764385402195,-1.394791393867135,0.0796533824294805,running6,running
1761392252361532200,2.7605322265625,-8.037444278737903,-0.8726227922409773,-0.2106546747803687,running6,running
1761392252371614200,2.7706142578125,-7.9563810295104975,-0.6401607748001813,0.0859533593565225,running6,running
1761392252381696300,2.7806962890625,-7.756034982776641,-0.0156476509869098,0.7148585806488991,running6,running
1761392252391778300,2.7907783203125,-7.364450909394026,0.4470709828048944,1.5094751731455325,running6,running
1761392252401861000,2.800861083984375,-6.6683332695722575,0.2249000577539205,1.440308697938919,running6,running
1761392252411943200,2.810943115234375,-6.449722082829475,-0.238306651815772,0.5583540137290954,running6,running
1761392252422025200,2.821025146484375,-6.774026517665386,0.1170335572749376,-0.3949982657402753,running6,running
1761392252432107300,2.831107177734375,-7.4243568043023345,0.8490572077363729,-0.7208592823684216,running6,running
1761392252442189300,2.841189208984375,-7.999671889704465,1.5549901391297578,-0.3252092747211456,running6,running
1761392252452272000,2.851272216796875,-7.80038733472228,1.6370307089567184,0.7330407185494899,running6,running
1761392252462354200,2.861354248046875,-7.0551628419041625,1.1904273436635733,1.901151016464829,running6,running
1761392252472436200,2.871436279296875,-6.321797129184008,0.866990923833847,2.885899135673046,running6,running
1761392252482518300,2.881518310546875,-5.389473024696112,0.5510369687139988,3.2339760757625102,running6,running
1761392252492601000,2.89160107421875,-4.962824652194977,0.1983352914333343,2.8172400254666803,running6,running
1761392252502683100,2.90168310546875,-4.901467389434576,0.2273918745696544,2.0088374842017886,running6,running
1761392252512765200,2.91176513671875,-4.812372517181933,0.2864659948289394,0.9897989728569984,running6,running
1761392252522847200,2.92184716796875,-4.49037431346178,0.2201391269624233,0.1375771636098623,running6,running
1761392252532929300,2.93192919921875,-4.182696311517059,0.1188683714866638,-0.037613399079442,running6,running
1761392252543012000,2.94201220703125,-4.151050296409428,0.0981207670122385,0.1510930632650852,running6,running
1761392252553094100,2.95209423828125,-4.210900077216327,0.0931225203335285,-0.5291752655178308,running6,running
1761392252563176200,2.96217626953125,-4.34388757494837,0.5725321766853332,-1.3720453090518712,running6,running
1761392252573258200,2.97225830078125,-4.352471571159363,1.1669184577822684,-2.208846261805296,running6,running
1761392252583341300,2.98234130859375,-4.302459878277778,1.523876038941741,-3.1037709022253748,running6,running
1761392252593423000,2.992423095703125,-4.418066617619991,1.8820307209312916,-3.5119992364168167,running6,running
1761392252603505200,3.002505126953125,-4.343517864853143,2.111665405991673,-3.915477161210775,running6,running
1761392252613587200,3.012587158203125,-4.175345364232361,2.130124607267976,-4.111780654555559,running6,running
1761392252623669200,3.022669189453125,-3.854678116855025,1.9620470914542676,-4.401012022444606,running6,running
1761392252633752300,3.03275244140625,-3.696191143946349,1.749235530900955,-5.229781059911847,running6,running
1761392252643834400,3.04283447265625,-3.9857682565331456,1.7799603395104406,-5.682155994343757,running6,running
1761392252653916400,3.05291650390625,-4.437959066569805,1.829454145997763,-5.871576157915592,running6,running
1761392252663998200,3.062998291015625,-4.841842649555206,1.7857669799625873,-5.742015127500891,running6,running
1761392252674081300,3.073081298828125,-5.055111890748143,1.7036200271517037,-5.093876797950268,running6,running
1761392252684163300,3.083163330078125,-5.188821857535839,1.5019383478999138,-4.696370348781347,running6,running
1761392252694245400,3.093245361328125,-5.603432586240768,1.299998602233827,-4.2289778779596086,running6,running
1761392252704327400,3.103327392578125,-6.330064022269845,1.5212503666132688,-4.183876168951392,running6,running
1761392252714409500,3.113409423828125,-6.805429371666908,1.9031871984675528,-4.835479544264078,running6,running
1761392252724492300,3.1234921875,-6.966493793848157,2.412101766245067,-5.815913891926408,running6,running
1761392252734574300,3.13357421875,-6.896876067742705,2.823270245541632,-6.452915910434722,running6,running
1761392252744656400,3.143656494140625,-6.536628212866186,3.1206185766518115,-6.505402468997239,running6,running
1761392252754738400,3.153738525390625,-6.089135789778828,3.4392975728213786,-6.311677301707864,running6,running
1761392252764821200,3.1638212890625,-5.592023887997866,3.6283991719633337,-5.931566808497905,running6,running
1761392252774903300,3.1739033203125,-5.100001418310404,3.787946175318956,-5.460038845306634,running6,running
1761392252784985300,3.1839853515625,-4.605945981490612,4.186822159275413,-5.188654684275388,running6,running
1761392252795067400,3.1940673828125,-4.090503473249077,4.534705330358445,-5.281971850398183,running6,running
1761392252805150200,3.204150146484375,-3.700947106301785,5.236113185542822,-5.56620380256474,running6,running
1761392252815232300,3.214232177734375,-3.124233260017633,5.86341097163856,-5.924097203269601,running6,running
1761392252825314300,3.224314208984375,-2.183295056441426,6.373702088466287,-7.037904248589276,running6,running
1761392252835396400,3.234396240234375,-1.777192043840885,7.800148849791288,-8.364173894894122,running6,running
1761392252845478400,3.244478515625,-2.0717951678961515,8.865877216118573,-8.662852890086173,running6,running
1761392252855561200,3.254561279296875,-2.593333654925227,9.241040900576117,-9.014919776594638,running6,running
1761392252865643300,3.264643310546875,-2.6943431291162967,9.152171946033835,-8.874730384659767,running6,running
1761392252875725300,3.274725341796875,-2.434540100285411,8.436044368362426,-8.481637660279869,running6,running
1761392252885807400,3.284807373046875,-2.259966208189726,7.471014510580897,-8.295688972210884,running6,running
1761392252895890200,3.29489013671875,-2.131516938409209,6.82273238864541,-8.475399642673134,running6,running
1761392252905972200,3.30497216796875,-1.65398009019196,6.334463718533516,-8.790335945183038,running6,running
1761392252916054300,3.31505419921875,-0.6834323457717895,5.313542462182045,-8.799464423534273,running6,running
1761392252926136300,3.32513623046875,0.3888374050229787,3.724832716540992,-8.798439756661653,running6,running
1761392252936218400,3.33521826171875,0.7044979301542044,2.5887021957322958,-8.365433539566396,running6,running
1761392252946301200,3.34530126953125,0.2776835534363985,2.055902894498408,-7.374457924145459,running6,running
1761392252956383200,3.35538330078125,-0.3680447923630476,1.90517778776288,-6.056040160384774,running6,running
1761392252966465300,3.36546533203125,-1.0929048348054289,2.106770619687438,-4.683483394679427,running6,running
1761392252976547300,3.37554736328125,-1.730145630505681,2.411382512059808,-3.63614642508924,running6,running
1761392252986630400,3.38563037109375,-2.2117077887162564,2.798042280782759,-2.852513583421707,running6,running
1761392252996712400,3.39571240234375,-2.6399150810971856,3.3553350950211285,-2.414350714215636,running6,running
1761392253006794200,3.405794189453125,-2.851106639233232,3.9915021240100255,-2.236622742003202,running6,running
1761392253016876300,3.415876220703125,-2.714536606839299,4.546868354099988,-2.0397931789577006,running6,running
1761392253026959400,3.42595947265625,-2.2456042130991816,4.87389490737617,-1.7980699966967104,running6,running
1761392253037041400,3.43604150390625,-1.1992246903643011,5.032866741192341,-1.6753221534281968,running6,running
1761392253047123500,3.44612353515625,0.6023758185461163,4.629960771067441,-2.304678041097522,running6,running
1761392253057205500,3.45620556640625,1.907055856594443,4.329773124878108,-2.820228685888648,running6,running
1761392253067287600,3.46628759765625,2.3568483733177183,4.612553124670684,-2.877676081728935,running6,running
1761392253077370400,3.476370361328125,2.603826407366991,4.5520700143963095,-2.7939292925059798,running6,running
1761392253087452400,3.486452392578125,2.394960661830008,4.813642975509167,-2.8375778800964357,running6,running
1761392253097534500,3.496534423828125,1.927849053776264,5.405829700735211,-2.653731717264652,running6,running
1761392253107616500,3.506616455078125,1.3686857694908976,6.034349137580395,-2.147756710070372,running6,running
1761392253117699300,3.51669921875,0.7658280126467347,6.362548241767287,-1.0979220784455537,running6,running
1761392253127781400,3.526781494140625,0.4896674309939146,6.516617690494656,0.1043967785418033,running6,running
1761392253137863400,3.536863525390625,0.6209823193386197,6.652860390630364,1.260335577148199,running6,running
1761392253147945500,3.546945556640625,0.9796347217172384,6.679826138967275,2.0020365720152853,running6,running
1761392253158028300,3.5570283203125,1.385570853318274,6.424779364752769,2.221067445474863,running6,running
1761392253168110300,3.5671103515625,1.7681231867223977,6.100625152042507,1.792375584447384,running6,running
1761392253178192400,3.5771923828125,1.8864821473821995,5.798164300224185,0.761830759704113,running6,running
1761392253188274400,3.5872744140625,1.8104723821520805,5.64005755880475,-0.2506780576109886,running6,running
1761392253198356500,3.5973564453125,1.6985197814032431,5.55055732062161,-1.2238438755750656,running6,running
1761392253208439300,3.607439208984375,1.6113196368560194,5.547399148851633,-1.867566726770997,running6,running
1761392253218521300,3.617521240234375,1.5683960025392472,5.462903002566099,-1.8363602721244097,running6,running
1761392253228603400,3.627603271484375,1.4730914619915187,5.368157264944911,-1.519593831577897,running6,running
1761392253238685400,3.637685546875,1.208109715348482,5.41918368782699,-1.3864847532927989,running6,running
1761392253248768300,3.647768310546875,0.6534986875399946,5.609182528069615,-1.262206047195196,running6,running
1761392253258850300,3.657850341796875,-0.0819485076293349,5.868671084123849,-1.0973533386468888,running6,running
1761392253268932400,3.667932373046875,-0.9737116152785718,6.211633457678556,-1.0393617529273032,running6,running
1761392253279014400,3.678014404296875,-1.822790450324863,6.431182802054286,-0.98207451608479,running6,running
1761392253289097200,3.68809716796875,-2.539147598968446,6.731818192011118,-0.8173737832278013,running6,running
1761392253299179300,3.69817919921875,-2.844633643826842,6.958200597277283,-0.6911123788803816,running6,running
1761392253309261300,3.70826123046875,-2.686669525748491,7.028116429546475,-0.7218091304391622,running6,running
1761392253319343400,3.71834326171875,-2.258094422968477,7.054371983787417,-0.4641875373005866,running6,running
1761392253329426200,3.72842626953125,-1.532320626682043,6.693923637902737,-0.2001788734734058,running6,running
1761392253339508200,3.73850830078125,-0.8091127353608608,6.173527891167998,-0.307006094032526,running6,running
1761392253349590300,3.74859033203125,-0.4818086803175508,5.762296868029236,-0.6159580614358187,running6,running
1761392253359672300,3.75867236328125,-0.6213086286835372,5.509893886321783,-1.050154949620366,running6,running
1761392253369754400,3.76875439453125,-0.956122474835068,5.250113653844594,-1.5575509295284746,running6,running
1761392253379837200,3.778837158203125,-1.4227940840363502,5.116873642656207,-2.1152683989197016,running6,running
1761392253389919200,3.788919189453125,-1.7868246723219752,4.990020702156424,-2.8246692986845967,running6,running
1761392253400001300,3.799001220703125,-1.7314118510492145,4.578652316373587,-3.3311908338457346,running6,running
1761392253410083300,3.809083251953125,-1.324223235169053,4.2319589395970105,-3.429208140483498,running6,running
1761392253420166100,3.819166259765625,-0.4992575355075299,3.5938586044579743,-3.446011391246319,running6,running
1761392253430248200,3.829248291015625,0.6567082972362637,2.770928356146812,-3.908983123016357,running6,running
1761392253440330200,3.839330322265625,1.5295790728889405,1.9963307615891095,-4.563299848940968,running6,running
1761392253450412300,3.849412353515625,2.3755919444933533,0.9952610376551748,-5.592992440769076,running6,running
1761392253460495400,3.859495361328125,3.0604832569018003,-0.1005205216303467,-5.868158458426595,running6,running
1761392253470577200,3.8695771484375,3.293084390552342,-0.9512243275299668,-5.224387091913819,running6,running
1761392253480659200,3.8796591796875,3.3657617964893576,-1.8799544991791248,-4.383452400356531,running6,running
1761392253490741200,3.8897412109375,3.420683765505254,-2.851542108041048,-3.610709786015749,running6,running
1761392253500823300,3.8998232421875,3.6357244002848863,-3.631905134257674,-2.9268408023923635,running6,running
1761392253510906000,3.909906005859375,4.104789772754907,-4.317410194650292,-2.602565009129047,running6,running
1761392253520988200,3.91998828125,4.816746202221513,-5.005699917325377,-2.243189845433831,running6,running
1761392253531070200,3.9300703125,5.510297206425666,-5.822692007759213,-2.069848125481605,running6,running
1761392253541152300,3.94015234375,6.510420004898309,-7.009133496657014,-2.0761831737220287,running6,running
1761392253551235300,3.9502353515625,7.750503067612647,-8.061202755466104,-2.1377099478304387,running6,running
1761392253561317400,3.9603173828125,8.635936826109885,-8.652429111227393,-2.418805355536937,running6,running
1761392253571399200,3.970399169921875,9.230822288900614,-8.8953868037194,-3.2877100040376184,running6,running
1761392253581481200,3.980481201171875,9.75144541465044,-8.82052650078535,-4.898647655838728,running6,running
1761392253591564500,3.990564453125,10.238680650061369,-8.932629031398893,-6.740306034371256,running6,running
1761392253601646300,4.000646240234375,10.640862105304002,-8.369989887696503,-8.582968621510267,running6,running
1761392253611728400,4.010728271484375,11.065325534981488,-7.526601957768201,-9.54672071444094,running6,running
1761392253621810400,4.020810546875,11.525032127475738,-7.171539396575093,-9.613403556138277,running6,running
1761392253631893500,4.0308935546875,11.680545345270634,-7.104440375292301,-9.10115312193632,running6,running
1761392253641975300,4.040975341796875,11.531125183653833,-7.407084766983986,-8.294629818546772,running6,running
1761392253652057300,4.051057373046875,10.929147132253648,-7.418615045779943,-7.546736983302235,running6,running
1761392253662139400,4.061139404296875,9.95674703796506,-6.686178138342499,-7.841699003797769,running6,running
1761392253672221400,4.071221435546875,8.329158695614337,-4.264413932999968,-8.492482294899224,running6,running
1761392253682304300,4.08130419921875,7.23404173771739,-1.8313965122371911,-8.44573457224965,running6,running
1761392253692386300,4.09138623046875,6.6140522288084025,-1.034365844336152,-8.201870870828628,running6,running
1761392253702468400,4.10146826171875,6.293682795333862,-1.958230748036504,-7.228043374085426,running6,running
1761392253712550400,4.11155029296875,5.719284824776649,-2.980287145897746,-6.570673690330982,running6,running
1761392253722633500,4.121633544921875,4.696898756569624,-3.1009640281111,-6.841019740486145,running6,running
1761392253732715300,4.13171533203125,3.457363975387812,-2.388893032354116,-7.594804556378722,running6,running
1761392253742797300,4.14179736328125,2.5351725578576323,-1.582780063331127,-8.33700765554905,running6,running
1761392253752879400,4.15187939453125,1.4928659836500882,-0.6889858882457017,-8.564029527762532,running6,running
1761392253762962400,4.16196240234375,0.8263713286757469,-0.4246697659045457,-8.079105491903423,running6,running
1761392253773044200,4.172044189453125,0.7218892099380493,-0.7696978398174047,-7.180207271677255,running6,running
1761392253783126300,4.182126220703125,0.8320049506485462,-0.7936117993682622,-5.968001811447739,running6,running
1761392253793208300,4.192208251953125,1.018653895941377,-0.6881734028190374,-4.925698159849643,running6,running
1761392253803293700,4.202293701171875,0.866964620348811,-0.6949743150055409,-3.945127618587017,running6,running
1761392253813376800,4.212376708984375,0.7673077298104762,-0.7762865705579519,-2.828574489429593,running6,running
1761392253823458600,4.22245849609375,0.6017313831627369,-0.7611509607464074,-2.269282171937078,running6,running
1761392253833540600,4.23254052734375,0.2824456532716751,-0.4564055051222443,-2.1090929251551627,running6,running
1761392253843622700,4.24262255859375,0.1851286038577556,0.1024412605598568,-2.3430735304653645,running6,running
1761392253853705700,4.252705810546875,0.4421358644902706,0.5664300604179501,-2.5986165637642142,running6,running
1761392253863787800,4.262787841796875,1.0327174926072358,0.8904752597957849,-2.886076830327511,running6,running
1761392253873869600,4.27286962890625,1.7926058860719205,1.1197764751181003,-3.109665805482864,running6,running
1761392253883951600,4.28295166015625,2.526324650013447,1.245292321795225,-3.3286043244838712,running6,running
1761392253894034700,4.29303466796875,2.8778075991541145,1.5988272350296375,-3.6999715392678976,running6,running
1761392253904116700,4.30311669921875,2.9919033494114875,1.936885177668929,-3.846438696298003,running6,running
1761392253914198500,4.313198486328125,3.0200054083019494,2.131997999924421,-4.079872189119458,running6,running
1761392253924280600,4.323280517578125,3.2676059581637382,2.2459753844991326,-4.086314204865694,running6,running
1761392253934363600,4.33336376953125,3.0416578526616096,2.5394343069553376,-3.583371697235107,running6,running
1761392253944445700,4.34344580078125,2.19764857596457,2.6113617713078856,-2.4940555345714093,running6,running
1761392253954527700,4.35352783203125,1.4658645794779062,1.6389254366621373,-1.4954581921003758,running6,running
1761392253964609500,4.363609619140625,1.1334534105539322,0.5198883817344904,-1.873227675142139,running6,running
1761392253974692900,4.37369287109375,1.05415717099905,-0.7820099166408181,-3.63990460857898,running6,running
1761392253984774700,4.383774658203125,0.4715969367742538,-0.9490613042771816,-6.342719505703449,running6,running
1761392253994856700,4.393856689453125,-0.4244955783814191,-0.3640884559527039,-7.824691754895448,running6,running
1761392254004938500,4.4039384765625,-0.500569348758459,-0.5753752911567688,-7.995327723020314,running6,running
1761392254015020500,4.4140205078125,-0.0089431849122047,-1.0426230928108096,-7.656672106748819,running6,running
1761392254025104000,4.424103759765625,0.8109645007073879,-1.5029799659073353,-7.057028635776042,running6,running
1761392254035186000,4.43418603515625,1.5234475843966009,-2.325357256510854,-6.6740113152086735,running6,running
1761392254045267700,4.444267822265625,1.5642968966573476,-3.277509220279753,-6.034055707591771,running6,running
1761392254055349500,4.454349609375,1.0328840813457965,-4.001051750382781,-5.573572870028019,running6,running
1761392254065432800,4.464432861328125,-0.0675543638348579,-4.664257300683856,-4.846399874468148,running6,running
1761392254075515000,4.474514892578125,-1.0855980189234018,-4.832584115083515,-4.469801773293316,running6,running
1761392254085596700,4.4845966796875,-1.483752118346095,-5.100815072780847,-4.424652718012035,running6,running
1761392254095678700,4.4946787109375,-1.595969799771905,-5.303226235350966,-4.874077278205752,running6,running
1761392254105761800,4.50476171875,-1.2252701089859008,-5.338828879129887,-5.49887681774497,running6,running
1761392254115843800,4.51484375,-0.4816320085763931,-5.5974540963530535,-5.779981577801704,running6,running
1761392254125926000,4.52492578125,0.2318751574635505,-5.850687683665752,-5.623081874084472,running6,running
1761392254136007700,4.535007568359375,0.7904284931570291,-6.119437989062071,-5.10592028696537,running6,running
1761392254146089700,4.54508984375,1.1709697789996862,-6.420380253010988,-4.501666984109581,running6,running
1761392254156172800,4.5551728515625,1.2374100441128015,-6.550201395666599,-4.36503674596101,running6,running
1761392254166254800,4.5652548828125,1.152332883068919,-6.389750136947631,-4.231104660855234,running6,running
1761392254176336600,4.575336669921875,1.1741565923422574,-5.763397522747517,-4.359811704789101,running6,running
1761392254186418700,4.585418701171875,1.4082353973299264,-5.195678883823752,-4.9555777498066425,running6,running
1761392254196501800,4.595501708984375,1.7355249854564665,-4.60160356837213,-5.844452004146576,running6,running
1761392254206583800,4.605583740234375,2.197515304973721,-3.636119537082314,-6.859812119239568,running6,running
1761392254216665900,4.615665771484375,2.8970640882879493,-2.403001052683592,-7.835507747942208,running6,running
1761392254226747600,4.62574755859375,3.348746948802471,-0.7293532622084021,-8.725297363561392,running6,running
1761392254236830700,4.635830810546875,3.8771430466413497,0.5271545733451843,-9.28819778854847,running6,running
1761392254246912800,4.645912841796875,4.05918537492156,1.4533406134694813,-9.440306750857829,running6,running
1761392254256994800,4.655994873046875,3.391298388805985,1.9116189267262813,-9.425425992590188,running6,running
1761392254267076600,4.66607666015625,2.43032686650455,1.1450837156582625,-9.20607947731018,running6,running
1761392254277159700,4.67615966796875,1.1006535492360592,0.3082772830121218,-9.313266763353347,running6,running
1761392254287241700,4.68624169921875,-0.7465390825480223,0.428356345462799,-9.796748199188707,running6,running
1761392254297323800,4.69632373046875,-2.289128005266189,1.1395213322907685,-10.04620811318159,running6,running
1761392254307405800,4.70640576171875,-3.001377280199528,1.6303193747498097,-10.151464138901233,running6,running
1761392254317488600,4.716488525390625,-3.322525296831131,2.038253986691684,-10.042857633709907,running6,running
1761392254327570700,4.72657080078125,-3.300021788600087,2.2309202925778924,-9.86395769510865,running6,running
1761392254337652700,4.73665283203125,-2.6231261511206627,1.985097127652168,-9.48243441249132,running6,running
1761392254347734800,4.74673486328125,-1.921374889326096,1.7440680651351808,-8.766317940735817,running6,running
1761392254357816600,4.756816650390625,-1.6131079815775156,1.6364834503374992,-8.10630387995243,running6,running
1761392254367899600,4.766899658203125,-1.968801241889596,2.342033373762667,-7.659567828190326,running6,running
1761392254377981700,4.776981689453125,-2.364219194346666,2.84228737296164,-6.800229464936256,running6,running
1761392254388063700,4.787063720703125,-2.551533910071849,3.09754136018604,-5.673835909765958,running6,running
1761392254398145800,4.797145751953125,-2.3472990392059088,3.60956996833086,-4.76161263628155,running6,running
1761392254408228600,4.807228515625,-1.7717168273001909,3.6669095198825,-3.927684608615935,running6,running
1761392254418310700,4.817310546875,-1.0049930348575116,3.339088016836345,-3.463419037643075,running6,running
1761392254428392700,4.827392822265625,-0.2449842298835516,2.866773287181556,-3.349486953514814,running6,running
